At least,But less than,Single,Married filing jointly,Married filing separately,Head of a house hold
46700,46750,1089,748,1089,748
46750,46800,1092,749,1092,749
46800,46850,1095,749,1095,749
46850,46900,1097,750,1097,750
46900,46950,1100,751,1100,751
46950,47000,1103,752,1103,752
47000,47050,1106,753,1106,753
47050,47100,1108,754,1108,754
47100,47150,1111,755,1111,755
47150,47200,1114,756,1114,756
47200,47250,1117,756,1117,756
47250,47300,1119,757,1119,757
47300,47350,1122,758,1122,758
47350,47400,1125,759,1125,759
47400,47450,1128,760,1128,760
47450,47500,1130,761,1130,761
47500,47550,1133,762,1133,762
47550,47600,1136,763,1136,763
47600,47650,1139,763,1139,763
47650,47700,1142,764,1142,764
47700,47750,1144,765,1144,765
47750,47800,1147,766,1147,766
47800,47850,1150,767,1150,767
47850,47900,1153,768,1153,768
47900,47950,1155,769,1155,769
47950,48000,1158,770,1158,770
48000,48050,1161,770,1161,770
48050,48100,1164,771,1164,771
48100,48150,1166,772,1166,772
48150,48200,1169,773,1169,773
48200,48250,1172,774,1172,774
48250,48300,1175,775,1175,775
48300,48350,1177,776,1177,776
48350,48400,1180,777,1180,777
48400,48450,1183,777,1183,777
48450,48500,1186,778,1186,778
48500,48550,1189,779,1189,779
48550,48600,1191,780,1191,780
48600,48650,1194,781,1194,781
48650,48700,1197,782,1197,782
48700,48750,1200,783,1200,783
48750,48800,1202,784,1202,784
48800,48850,1205,784,1205,784
48850,48900,1208,785,1208,785
48900,48950,1211,786,1211,786
