At least,But less than,Single,Married filing jointly,Head of a house hold,Married filing separately
46700,46750,2675,2333,2505,2675
46750,46800,2679,2336,2508,2679
46800,46850,2682,2340,2511,2682
46850,46900,2685,2343,2515,2685
46900,46950,2688,2346,2518,2688
46950,47000,2692,2349,2521,2692
47000,47050,2695,2353,2524,2695
47050,47100,2698,2356,2527,2698
47100,47150,2701,2359,2531,2701
47150,47200,2704,2362,2534,2704
47200,47250,2708,2366,2537,2708
47250,47300,2711,2369,2540,2711
47300,47350,2714,2372,2544,2714
47350,47400,2717,2375,2547,2717
47400,47450,2721,2378,2550,2721
47450,47500,2724,2382,2553,2724
47500,47550,2727,2385,2556,2727
47550,47600,2730,2388,2560,2730
47600,47650,2734,2391,2563,2734
47650,47700,2737,2395,2566,2737
47700,47750,2740,2398,2569,2740
47750,47800,2743,2401,2573,2743
47800,47850,2746,2404,2576,2746
47850,47900,2750,2407,2579,2750
47900,47950,2753,2411,2582,2753
47950,48000,2756,2414,2585,2756
48000,48050,2759,2417,2589,2759
48050,48100,2763,2420,2592,2763
48100,48150,2766,2424,2595,2766
48150,48200,2769,2427,2598,2769
48200,48250,2772,2430,2602,2772
48250,48300,2775,2433,2605,2775
48300,48350,2779,2436,2608,2779
48350,48400,2782,2440,2611,2782
48400,48450,2785,2443,2615,2785
48450,48500,2788,2446,2618,2788
48500,48550,2792,2449,2621,2792
48550,48600,2795,2453,2624,2795
48600,48650,2798,2456,2627,2798
48650,48700,2801,2459,2631,2801
48700,48750,2804,2462,2634,2804
48750,48800,2808,2465,2637,2808
48800,48850,2811,2469,2640,2811
48850,48900,2814,2472,2644,2814
48900,48950,2817,2475,2647,2817
48950,49000,2821,2478,2650,2821
49000,49050,2824,2482,2653,2824
49050,49100,2827,2485,2656,2827
49100,49150,2830,2488,2660,2830
49150,49200,2833,2491,2663,2833
49200,49250,2837,2495,2666,2837
49250,49300,2840,2498,2669,2840
49300,49350,2843,2501,2673,2843
49350,49400,2846,2504,2676,2846
49400,49450,2850,2507,2679,2850
49450,49500,2853,2511,2682,2853
49500,49550,2856,2514,2685,2856
49550,49600,2859,2517,2689,2859
49600,49650,2863,2520,2692,2863
49650,49700,2866,2524,2695,2866
49700,49750,2869,2527,2698,2869
49750,49800,2872,2530,2702,2872
49800,49850,2875,2533,2705,2875
49850,49900,2879,2536,2708,2879
49900,49950,2882,2540,2711,2882
49950,50000,2885,2543,2714,2885
50000,50050,2888,2546,2718,2888
50050,50100,2892,2549,2721,2892
50100,50150,2895,2553,2724,2895
50150,50200,2898,2556,2727,2898
50200,50250,2901,2559,2731,2901
50250,50300,2904,2562,2734,2904
50300,50350,2908,2565,2737,2908
50350,50400,2911,2569,2740,2911
50400,50450,2914,2572,2744,2914
50450,50500,2917,2575,2747,2917
50500,50550,2921,2578,2750,2921
50550,50600,2924,2582,2753,2924
50600,50650,2927,2585,2756,2927
50650,50700,2930,2588,2760,2930
50700,50750,2933,2591,2763,2933
50750,50800,2937,2594,2766,2937
50800,50850,2940,2598,2769,2940
50850,50900,2943,2601,2773,2943
50900,50950,2946,2604,2776,2946
50950,51000,2950,2607,2779,2950
51000,51050,2953,2611,2782,2953
51050,51100,2956,2614,2785,2956
51100,51150,2959,2617,2789,2959
51150,51200,2962,2620,2792,2962
51200,51250,2966,2624,2795,2966
51250,51300,2969,2627,2798,2969
51300,51350,2972,2630,2802,2972
51350,51400,2975,2633,2805,2975
51400,51450,2979,2636,2808,2979
51450,51500,2982,2640,2811,2982
51500,51550,2985,2643,2814,2985
51550,51600,2988,2646,2818,2988
51600,51650,2992,2649,2821,2992
51650,51700,2995,2653,2824,2995
51700,51750,2998,2656,2827,2998
51750,51800,3001,2659,2831,3001
51800,51850,3004,2662,2834,3004
51850,51900,3008,2665,2837,3008
51900,51950,3011,2669,2840,3011
51950,52000,3014,2672,2843,3014
52000,52050,3017,2675,2847,3017
52050,52100,3021,2678,2850,3021
52100,52150,3024,2682,2853,3024
52150,52200,3027,2685,2856,3027
52200,52250,3030,2688,2860,3030
52250,52300,3033,2691,2863,3033
52300,52350,3037,2694,2866,3037
52350,52400,3040,2698,2869,3040
52400,52450,3043,2701,2873,3043
52450,52500,3046,2704,2876,3046
52500,52550,3050,2707,2879,3050
52550,52600,3053,2711,2882,3053
52600,52650,3056,2714,2885,3056
52650,52700,3059,2717,2889,3059
52700,52750,3062,2720,2892,3062
52750,52800,3066,2723,2895,3066
52800,52850,3069,2727,2898,3069
52850,52900,3072,2730,2902,3072
52900,52950,3075,2733,2905,3075
52950,53000,3079,2736,2908,3079
53000,53050,3082,2740,2911,3082
53050,53100,3085,2743,2914,3085
53100,53150,3088,2746,2918,3088
53150,53200,3091,2749,2921,3091
53200,53250,3095,2753,2924,3095
53250,53300,3098,2756,2927,3098
53300,53350,3101,2759,2931,3101
53350,53400,3104,2762,2934,3104
53400,53450,3108,2765,2937,3108
53450,53500,3111,2769,2940,3111
53500,53550,3114,2772,2943,3114
53550,53600,3117,2775,2947,3117
53600,53650,3121,2778,2950,3121
